District_Key   , District       , Year_AD, Year_BS, Province              , Elevation_Min     , Elevation_Max    , Slope_Median      , Landform, Parent_Material, Dominant_Soil, area    , longitude, latitude, Potassium_mean   , Nitrogen_mean     , OrganicMatter_mean, Phosphorous_mean , pH_mean         , Barley_Area_Ha, Maize_Area_Ha, Millet_Area_Ha, Wheat_Area_Ha, Barley_Production_Mt, Maize_Production_Mt, Millet_Production_Mt, Wheat_Production_Mt, Barley_Yield_MtHa, Maize_Yield_MtHa, Millet_Yield_MtHa, Wheat_Yield_MtHa
DOLPA          , DOLPA          ,2019, 2075/76, Karnali Province      ,1501.69506835938,7731.5078125,4793.42724609375, TM      , MA2            , LPi          ,7946.52,83.054,29.171,461.043211815638,0.228555651369432,4.42490712685912,145.386666210252,6.69125391514782, 355.0         , 2308.0       , 277.0         , 2794.0       , 344.0               , 3148.0             , 302.0               , 5015.0             , 0.97             , 1.36            , 1.09             , 1.79
DOTI           , DOTI           ,2019, 2075/76, Sudurpashchim Province,304.0,3279.84936523438,1442.28552246094, TM      , MA2            , RGe          ,2050.89,80.896,29.17,332.010178875298,0.145198797458341,2.95759711654838,68.0059784101824,6.34229682480316, 187.0         , 3642.0       , 4577.0        , 12334.0      , 175.0               , 8595.0             , 4933.0              , 27770.0            , 0.94             , 2.36            , 1.08             , 2.25
GORKHA         , GORKHA         ,2019, 2075/76, Gandaki Province      ,228.5,7983.09521484375,3185.54467773438, TM      , MA2            , LPi          ,3647.014,84.792,28.319,255.023310534875,0.277566787372248,3.01872690749044,53.80943504015,5.81304031705723, 97.0          , 17567.0      , 11721.0       , 3653.0       , 138.0               , 45253.0            , 14903.0             , 7951.0             , 1.43             , 2.58            , 1.27             , 2.18
GULMI          , GULMI          ,2019, 2075/76, Lumbini Province      ,459.5,2677.65112304688,1278.63439941406, TM      , MA1            , CMe          ,1108.282,83.309,28.094,256.489081123057,0.148138481468956,3.26498679985971,162.218243641452,6.41361821607527, 242.0         , 24086.0      , 2997.0        , 6601.0       , 425.0               , 61829.0            , 3044.0              , 19480.0            , 1.76             , 2.57            , 1.02             , 2.95
HUMLA          , HUMLA          ,2019, 2075/76, Karnali Province      ,1173.0,6997.869140625,4668.60034179688, TV      , UF1            , RGe          ,6008.728,81.882,30.032,271.595296756269,0.15275020661515,3.95251302206632,150.338657875784,7.07807836321831, 614.0         , 141.0        , 1294.0        , 957.0        , 799.0               , 255.0              , 1497.0              , 1263.0             , 1.3              , 1.81            , 1.16             , 1.32
ILAM           , ILAM           ,2019, 2075/76, Koshi Province        ,115.0,3594.64208984375,1068.93518066406, TM      , MA2            , CMu          ,1685.818,87.904,26.881,379.664216725838,0.137195611548443,3.01750567665439,157.492232402046,6.04871962316365, 47.0          , 32798.0      , 1692.0        , 4720.0       , 59.0                , 120533.0           , 1977.0              , 15449.0            , 1.26             , 3.68            , 1.17             , 3.27
JAJARKOT       , JAJARKOT       ,2019, 2075/76, Karnali Province      ,607.0,5398.15869140625,2170.43347167969, TM      , MA2            , LPi          ,2222.519,82.17,28.865,431.388658320394,0.173539378601211,3.21414716599659,149.671178851275,6.4434617714514, 618.0         , 14693.0      , 1724.0        , 14003.0      , 694.0               , 36248.0            , 1916.0              , 21634.0            , 1.12             , 2.47            , 1.11             , 1.54
JHAPA          , JHAPA          ,2019, 2075/76, Koshi Province        ,59.761791229248,826.230651855469,102.456111907959, TM      , MA1            , CMe          ,1603.77,87.916,26.584,190.55327224687,0.104507366958155,2.38279226645097,51.1671486355456,5.60350384981523, 4.0           , 38913.0      , 1224.0        , 7500.0       , 7.0                 , 151644.0           , 1570.0              , 29450.0            , 1.75             , 3.9             , 1.28             , 3.93
JUMLA          , JUMLA          ,2019, 2075/76, Karnali Province      ,2035.96752929688,6546.94140625,3439.25695800781, TM      , MA2            , LPi          ,2554.398,82.219,29.272,454.209681142738,0.187106771067978,3.87881310172361,51.9879852131891,6.00101599634949, 3379.0        , 4327.0       , 3698.0        , 2310.0       , 5732.0              , 6534.0             , 3885.0              , 4204.0             , 1.7              , 1.51            , 1.05             , 1.82
KAILALI        , KAILALI        ,2019, 2075/76, Sudurpashchim Province,138.0,1952.61047363281,210.908737182617, TM      , MA1            , CMe          ,3286.136,80.881,28.742,198.395355728067,0.102388554938699,1.91030792930229,66.6993388544533,7.34758909198902, 175.0         , 6386.0       , 363.0         , 34994.0      , 345.0               , 18334.0            , 369.0               , 109234.0           , 1.97             , 2.87            , 1.02             , 3.12
KALIKOT        , KALIKOT        ,2019, 2075/76, Karnali Province      ,728.16845703125,4458.55029296875,2772.01440429688, TM      , MA2            , RGe          ,1640.156,81.754,29.195,444.087151248562,0.164069342785738,3.36061834015338,45.1702075502736,6.52851296859501, 829.0         , 2998.0       , 1228.0        , 5039.0       , 1252.0              , 6569.0             , 1290.0              , 6119.0             , 1.51             , 2.19            , 1.05             , 1.21
KANCHANPUR     , KANCHANPUR     ,2019, 2075/76, Sudurpashchim Province,159.152694702148,1505.19421386719,205.706359863281, LV      , UF1            , CMg          ,1618.111,80.323,28.862,131.272540609046,0.0896434820632919,1.77377424661822,34.5890023763427,7.30370091375685, 8.0           , 3168.0       , N/A           , 33073.0      , 10.0                , 7404.0             , N/A                 , 84544.0            , 1.25             , 2.34            , N/A              , 2.56
KAPILBASTU     , KAPILBASTU     ,2019, 2075/76, Lumbini Province      ,88.7635269165039,1265.87573242188,116.869033813477, TH      , SC2            , RGd          ,1651.659,82.983,27.628,203.623103057436,0.100917059609816,1.89117043368294,64.6511899229649,7.24225859112583, 178.0         , 2688.0       , N/A           , 25667.0      , 328.0               , 9803.0             , N/A                 , 103935.0           , 1.84             , 3.65            , N/A              , 4.05
KASKI          , KASKI          ,2019, 2075/76, Gandaki Province      ,383.5,7879.4404296875,2135.43920898438, TM      , MA2            , LPi          ,2085.276,83.999,28.355,178.985725944854,0.15442640435205,3.1027342045444,72.053408605867,5.63889217427502, 110.0         , 13624.0      , 15441.0       , 5951.0       , 171.0               , 34632.0            , 18973.0             , 13303.0            , 1.55             , 2.54            , 1.23             , 2.24
KATHMANDU      , KATHMANDU      ,2019, 2075/76, Bagmati Province      ,842.585571289062,2713.25439453125,1415.49719238281, TM      , MA1            , CMe          ,413.659,85.35,27.728,264.110593875468,0.15712586664956,3.18734821490731,103.441143050215,5.68077896464943, 3.0           , 6420.0       , 608.0         , 2141.0       , 3.0                 , 24653.0            , 638.0               , 8862.0             , 1.25             , 3.84            , 1.05             , 4.14
KAVRE          , KAVRE          ,2019, 2075/76, Bagmati Province      ,280.526916503906,2921.60424804688,1358.27575683594, SV      , UF2            , CMg          ,1394.031,85.622,27.535,298.620999192077,0.152830672384332,3.18282895525467,89.9861738568235,5.99011701081785, 357.0         , 24643.0      , 3595.0        , 8292.0       , 596.0               , 76590.0            , 4176.0              , 24030.0            , 1.67             , 3.11            , 1.16             , 2.9
KHOTANG        , KHOTANG        ,2019, 2075/76, Koshi Province        ,161.5,3623.7294921875,1295.84375, SV      , UF2            , CMg          ,1589.458,86.789,27.168,570.506424330257,0.164639770228709,3.36871857330258,142.774027765281,6.11313324047924, 355.0         , 42621.0      , 23744.0       , 5169.0       , 485.0               , 94219.0            , 26456.0             , 12584.0            , 1.37             , 2.21            , 1.11             , 2.43
LALITPUR       , LALITPUR       ,2019, 2075/76, Bagmati Province      ,414.401641845703,2810.4365234375,1518.54248046875, TM      , MB1            , CMx          ,396.834,85.345,27.539,328.699357392353,0.170693859182162,3.60404062064105,97.8892885375356,5.90752661792669, 40.0          , 9165.0       , 560.0         , 2601.0       , 53.0                , 31253.0            , 576.0               , 8870.0             , 1.34             , 3.41            , 1.03             , 3.41
LAMJUNG        , LAMJUNG        ,2019, 2075/76, Gandaki Province      ,374.116546630859,7849.52392578125,1924.53607177734, TM      , MA2            , LPi          ,1663.107,84.432,28.289,166.638125907701,0.156077489873808,3.29657830796891,114.977490910563,5.76887646030865, 36.0          , 9935.0       , 7511.0        , 1627.0       , 53.0                , 23943.0            , 7291.0              , 1381.0             , 1.48             , 2.41            , 0.97             , 0.85
MAHOTTARI      , MAHOTTARI      ,2019, 2075/76, Madhesh Province      ,58.5692291259766,793.34814453125,102.198787689209, TH      , SC2            , RGd          ,1000.874,85.822,26.879,89.0523401931743,0.105505414448629,1.53681448264249,35.7023984353165,6.21434485707373, 8.0           , 9714.0       , N/A           , 24292.0      , 8.0                 , 24907.0            , N/A                 , 72050.0            , 1.0              , 2.56            , N/A              , 2.97
MAKAWANPUR     , MAKAWANPUR     ,2019, 2075/76, Bagmati Province      ,139.0,2580.658203125,664.185089111328, TM      , MA1            , CMe          ,2443.827,85.081,27.47,248.747604545184,0.13183394525659,3.00095802938863,120.159976703518,5.78593868284733, 252.0         , 25886.0      , 2774.0        , 3915.0       , 355.0               , 81722.0            , 3467.0              , 13202.0            , 1.41             , 3.16            , 1.25             , 3.37
MANANG         , MANANG         ,2019, 2075/76, Gandaki Province      ,1477.93371582031,8034.90625,4928.43676757812, TM      , MA2            , LPi          ,2321.552,84.227,28.673,424.921603423183,0.325862603338019,4.32103379351421,141.003324216083,6.24244846556951, 109.0         , 68.0         , N/A           , 199.0        , 191.0               , 107.0              , N/A                 , 278.0              , 1.76             , 1.58            , N/A              , 1.4
MORANG         , MORANG         ,2019, 2075/76, Koshi Province        ,57.9486808776855,2364.02392578125,105.974941253662, TM      , MA1            , CMe          ,1822.713,87.473,26.617,181.23714618601,0.0942170460435101,1.92586307621722,37.6410558182245,6.32608321795286, N/A           , 17290.0      , 1321.0        , 12305.0      , N/A                 , 67103.0            , 1606.0              , 42773.0            , N/A              , 3.88            , 1.22             , 3.48
MUGU           , MUGU           ,2019, 2075/76, Karnali Province      ,1094.0,6809.84716796875,3999.96142578125, TM      , MA2            , LPi          ,3233.739,82.372,29.618,263.380068569702,0.125506275252399,4.08698874927317,186.690619187985,7.09450580244332, 1036.0        , 588.0        , 4219.0        , 3255.0       , 1149.0              , 934.0              , 3250.0              , 3282.0             , 1.11             , 1.59            , 0.77             , 1.01
MUSTANG        , MUSTANG        ,2019, 2075/76, Gandaki Province      ,1770.47045898438,6987.1884765625,4730.4482421875, TM      , MA2            , LPi          ,3564.949,83.86,28.981,379.323829357573,0.215011607281011,4.07517509544559,155.788660422972,6.63328320750388, 255.0         , 551.0        , N/A           , 544.0        , 479.0               , 920.0              , N/A                 , 1028.0             , 1.88             , 1.67            , N/A              , 1.89
MYAGDI         , MYAGDI         ,2019, 2075/76, Gandaki Province      ,776.0478515625,8116.4580078125,3171.29016113281, TM      , MA2            , LPi          ,2285.539,83.462,28.553,353.13606139049,0.173414576561193,3.68759349691876,214.482872536434,6.04501443362091, 274.0         , 9431.0       , 2531.0        , 2861.0       , 370.0               , 32697.0            , 3366.0              , 7132.0             , 1.35             , 3.47            , 1.33             , 2.49
NAWALPARASIEAST, NAWALPARASIEAST,2019, 2075/76, Gandaki Province      ,106.5,1893.65856933594,337.243438720703, TM      , MA1            , CMe          ,1426.415,84.064,27.687,171.301081827196,0.121214691114625,2.32493160430211,53.2872014070441,6.07211767656373, 9.0           , 4651.0       , 251.0         , 8409.0       , 11.0                , 11683.0            , 256.0               , 22879.0            , 1.22             , 2.51            , 1.02             , 2.72
NAWALPARASIWEST, NAWALPARASIWEST,2019, 2075/76, Lumbini Province      ,99.0,1166.69519042969,115.263748168945, TH      , SC2            , RGd          ,726.466,83.741,27.528,116.764238598711,0.0844409889655,1.64869655736131,44.392201661222,7.34831070223391, 4.0           , 4651.0       , 221.0         , 8409.0       , 5.0                 , 11683.0            , 232.0               , 23164.0            , 1.11             , 2.51            , 1.05             , 2.75
NUWAKOT        , NUWAKOT        ,2019, 2075/76, Bagmati Province      ,412.0,5062.8427734375,1334.30712890625, TM      , MA2            , RGe          ,1193.274,85.238,27.915,225.217758376186,0.165817219876061,3.11697339822482,56.0506968669311,5.84125763226907, 152.0         , 16879.0      , 5158.0        , 4134.0       , 196.0               , 59650.0            , 6382.0              , 14069.0            , 1.29             , 3.53            , 1.24             , 3.4
OKHALDHUNGA    , OKHALDHUNGA    ,2019, 2075/76, Koshi Province        ,331.0,3433.61499023438,1487.54565429688, TM      , MA2            , CMu          ,1076.205,86.421,27.329,485.824933423802,0.181701865172169,3.66111232283744,119.537118790117,5.88399072874108, 88.0          , 12937.0      , 7988.0        , 2210.0       , 149.0               , 33352.0            , 15285.0             , 4611.0             , 1.69             , 2.58            , 1.91             , 2.09
PALPA          , PALPA          ,2019, 2075/76, Lumbini Province      ,218.424285888672,1890.34606933594,990.207244873047, TM      , MA1            , CMe          ,1462.567,83.626,27.817,256.894220190774,0.137318277557528,3.03297254540623,91.8766897122486,6.33758812670282, 19.0          , 21031.0      , 2634.0        , 5741.0       , 33.0                , 48624.0            , 2792.0              , 14710.0            , 1.78             , 2.31            , 1.06             , 2.56
PANCHTHAR      , PANCHTHAR      ,2019, 2075/76, Koshi Province        ,331.5,4615.68359375,1605.63793945312, SV      , UF2            , CMg          ,1248.063,87.778,27.115,316.494627782254,0.124330485249073,3.10273955703911,240.324144548503,6.10174908627369, 302.0         , 18879.0      , 4751.0        , 3055.0       , 405.0               , 37418.0            , 9092.0              , 7419.0             , 1.34             , 1.98            , 1.91             , 2.43
PARBAT         , PARBAT         ,2019, 2075/76, Gandaki Province      ,526.0,3286.6259765625,1395.09533691406, TM      , MA2            , CMu          ,541.664,83.681,28.211,207.84815559118,0.169950491356389,3.40349507110183,82.9595952352668,5.73858091079885, 79.0          , 13673.0      , 8502.0        , 2646.0       , 104.0               , 31721.0            , 7997.0              , 6775.0             , 1.32             , 2.32            , 0.94             , 2.56
PARSA          , PARSA          ,2019, 2075/76, Madhesh Province      ,75.6167449951172,846.730163574219,180.81787109375, TH      , SC2            , RGd          ,1407.074,84.782,27.239,106.294523352761,0.0890366639011917,1.41976793800242,32.6341705774616,6.12336358832026, 30.0          , 4412.0       , N/A           , 21981.0      , 41.0                , 16973.0            , N/A                 , 78563.0            , 1.37             , 3.85            , N/A              , 3.57
PYUTHAN        , PYUTHAN        ,2019, 2075/76, Lumbini Province      ,316.0,3612.08178710938,1253.53210449219, TM      , MA2            , RGe          ,1321.108,82.867,28.115,467.06105633097,0.109934012073795,2.36062430387048,171.061623965142,6.39066998109686, 467.0         , 11354.0      , 2088.0        , 8036.0       , 762.0               , 25172.0            , 2324.0              , 24885.0            , 1.63             , 2.22            , 1.11             , 3.1
RAMECHHAP      , RAMECHHAP      ,2019, 2075/76, Bagmati Province      ,402.5,6837.0185546875,1720.99377441406, TM      , MA2            , LPi          ,1564.314,86.18,27.513,315.893055471425,0.156598731635481,3.18118514770153,83.7272694841293,5.93530521552835, 62.0          , 22034.0      , 4933.0        , 3899.0       , 80.0                , 63370.0            , 5701.0              , 8816.0             , 1.28             , 2.88            , 1.16             , 2.26
RASUWA         , RASUWA         ,2019, 2075/76, Bagmati Province      ,613.395568847656,7204.4150390625,3741.8671875, TM      , MA2            , LPi          ,1501.12,85.418,28.183,303.947637318664,0.191512472635851,3.79950059194161,57.2098591681754,5.89673986838381, 254.0         , 2507.0       , 831.0         , 701.0        , 324.0               , 6017.0             , 890.0               , 1371.0             , 1.27             , 2.4             , 1.07             , 1.96
RAUTAHAT       , RAUTAHAT       ,2019, 2075/76, Madhesh Province      ,68.0,917.86962890625,94.2313232421875, TH      , SC2            , RGd          ,1038.392,85.305,27.001,145.125791774952,0.104901417803555,1.77976234057964,44.7550129427155,6.90008192576278, 3.0           , 3416.0       , 66.0          , 14982.0      , 4.0                 , 10907.0            , 70.0                , 53719.0            , 1.38             , 3.19            , 1.06             , 3.59
ROLPA          , ROLPA          ,2019, 2075/76, Lumbini Province      ,654.026062011719,3647.13012695312,1796.36608886719, TM      , MA2            , RGe          ,1885.559,82.63,28.344,528.747923482135,0.130187235876249,2.47086037775873,168.766012078651,6.57275978481274, 560.0         , 13264.0      , 1024.0        , 8417.0       , 654.0               , 34314.0            , 1162.0              , 24693.0            , 1.17             , 2.59            , 1.13             , 2.93
RUKUMEAST      , RUKUMEAST      ,2019, 2075/76, Lumbini Province      ,951.950073242188,7058.1689453125,3066.55224609375, TM      , MA2            , LPi          ,1682.362,82.813,28.674,491.578161899247,0.160993484393413,3.12617651203588,173.980011387344,6.40898419498412, 413.0         , 8469.0       , 458.0         , 5466.0       , 521.0               , 19834.0            , 614.0               , 13725.0            , 1.26             , 2.34            , 1.34             , 2.51
RUKUMWEST      , RUKUMWEST      ,2019, 2075/76, Karnali Province      ,677.0,5860.443359375,1998.69909667969, TM      , MA2            , LPi          ,1213.417,82.462,28.739,442.381061568601,0.168704690963043,3.26718599998588,130.428036643991,6.66100726858075, 399.0         , 8469.0       , 463.0         , 5466.0       , 499.0               , 19834.0            , 609.0               , 14771.0            , 1.25             , 2.34            , 1.32             , 2.7
RUPANDEHI      , RUPANDEHI      ,2019, 2075/76, Lumbini Province      ,86.0,1142.05590820312,112.945381164551, TH      , SC2            , RGd          ,1304.709,83.392,27.576,115.936022249062,0.095442283175747,1.78915764793836,62.5443438893856,6.82489525902767, 75.0          , 2691.0       , 41.0          , 26460.0      , 194.0               , 10522.0            , 46.0                , 91832.0            , 2.59             , 3.91            , 1.12             , 3.47
SALYAN         , SALYAN         ,2019, 2075/76, Karnali Province      ,325.5,2808.11694335938,1300.40625, TM      , MA1            , CMe          ,1880.396,82.146,28.402,355.109524139346,0.128866752380664,2.90151587040756,168.980671749596,6.50132504769655, 952.0         , 20679.0      , 1015.0        , 13914.0      , 1270.0              , 47334.0            , 1126.0              , 32327.0            , 1.33             , 2.29            , 1.11             , 2.32
SANKHUWASABHA  , SANKHUWASABHA  ,2019, 2075/76, Koshi Province        ,250.0,8205.7626953125,2620.14794921875, TM      , MA2            , LPi          ,3470.433,87.281,27.582,398.825121157752,0.185700416343397,3.80773490414778,73.6742350267876,5.61906991000148, 15.0          , 12457.0      , 6663.0        , 715.0        , 17.0                , 24154.0            , 8456.0              , 1608.0             , 1.13             , 1.94            , 1.27             , 2.25
SAPTARI        , SAPTARI        ,2019, 2075/76, Madhesh Province      ,61.1346588134766,436.26171875,90.0238037109375, TH      , SC2            , RGd          ,1281.516,86.749,26.598,148.06213714943,0.0779959378314166,1.42416968473388,40.5059233241752,5.98521416981909, N/A           , 3854.0       , 189.0         , 15273.0      , N/A                 , 10999.0            , 241.0               , 53103.0            , N/A              , 2.85            , 1.27             , 3.48
SARLAHI        , SARLAHI        ,2019, 2075/76, Madhesh Province      ,67.5,694.423034667969,106.920471191406, TH      , SC2            , RGd          ,1263.618,85.568,26.986,169.119553936461,0.117072027288068,1.89570595754801,38.29483183666,6.68646757017644, 62.0          , 11123.0      , 747.0         , 22462.0      , 69.0                , 36050.0            , 653.0               , 74138.0            , 1.11             , 3.24            , 0.88             , 3.3
SINDHULI       , SINDHULI       ,2019, 2075/76, Bagmati Province      ,132.0,2360.17016601562,648.122650146484, SV      , UF2            , CMg          ,2484.937,85.946,27.201,281.082031977321,0.112265382163962,2.63653583112347,64.8940609696022,5.87498102623433, 42.0          , 25136.0      , 11801.0       , 5645.0       , 66.0                , 80284.0            , 12954.0             , 17318.0            , 1.57             , 3.19            , 1.1              , 3.07
